TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TCIN11;112,75;;0,00;108,27;1,04;510,50;1,11;;;89.993.358,75;131,00;Ativa;831.197,00
VCRR11;77,95;0,670000;8,60;119,72;0,65;103.545,10;0,99;;;239.430.002,51;2.035,00;Ativa;2.000.000,00
VERE11;233,49;2,110000;12,39;337,78;0,69;;6,61;14,56;;185.808.959,34;53,00;Ativa;550.084,00
VGHF11;10,20;0,140000;15,84;9,42;1,09;4.376.490,49;11,88;;;496.676.270,99;59.943,00;Ativa;52.750.005,00
ZIFI11;1.140,00;4,813478;0,42;1.207,19;0,94;17.195,71;0,01;;;25.079.336,22;22,00;Ativa;20.775,00
BPFF11;64,21;0,600000;10,74;77,83;0,83;446.650,46;4,21;-8,85;-11,47;349.649.956,58;20.408,00;Ativa;4.492.326,00
VGIP11;99,13;1,400000;14,81;96,34;1,03;3.509.206,00;1,71;;;895.368.303,77;59.915,00;Ativa;9.293.498,00
VGIR11;101,21;1,200000;9,39;97,04;1,04;1.829.335,98;20,86;5,12;0,18;535.719.360,76;30.903,00;Ativa;5.520.769,00
VIFI11;7,20;0,660000;106,41;88,75;0,08;311.390,95;6,30;;;249.591.606,06;6.130,00;Ativa;2.812.340,00
VILG11;102,09;0,700000;7,47;113,73;0,90;2.098.057,00;1,08;-3,42;-3,03;1.705.713.972,90;147.088,00;Ativa;14.997.396,00
VINO11;51,35;0,340000;10,98;54,95;0,94;1.733.030,37;5,40;;;910.328.271,55;106.220,00;Ativa;16.565.259,00
VISC11;103,00;0,680000;6,53;116,16;0,89;2.406.861,15;3,43;-4,31;-1,19;2.055.525.825,94;206.189,00;Ativa;17.696.234,00
VJFD11;0,00;0,888100;0,00;133,36;;;0,85;;;650.282.405,88;97,00;Ativa;4.876.129,00
VTLT11;91,45;0,830000;10,20;103,43;0,88;332.685,05;2,37;0,78;-3,47;218.756.709,63;6.082,00;Ativa;2.115.000,00
VTPL11;0,00;5,110000;0,00;76,69;;;2,52;;;106.316.420,68;54,00;Passiva;1.386.242,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
VXXV11;852,64;10,760000;0,00;800,83;1,06;2.295.306,40;1,09;;;141.569.007,33;13,00;Ativa;176.778,00
XPCM11;17,40;0,180000;16,23;54,08;0,32;83.614,51;4,59;-34,45;-43,58;130.588.319,92;29.662,00;Passiva;2.414.570,00
BTWR11;105,49;0,370000;2,91;108,62;0,97;12.089,20;2,84;;;87.900.343,13;61,00;Passiva;809.269,00
BVAR11;0,00;6,860000;0,00;1.061,41;;;0,08;44,72;;663.952.156,67;69,00;Passiva;625.540,00
BZEL11;0,00;;0,00;108,02;;;0,06;;;382.183.255,59;3,00;Ativa;3.538.046,00
BZLI11;16,90;;0,00;10,79;1,57;15.424,92;0,12;;5,24;433.186.561,93;323,00;Ativa;40.162.783,00
CACR11;107,79;1,440000;14,78;102,81;1,05;284.356,41;9,25;;;155.676.133,53;4.124,00;Ativa;1.514.227,00
XPIN11;81,88;0,610000;9,21;109,59;0,75;498.774,49;4,85;-3,65;-11,45;783.583.228,00;50.474,00;Ativa;7.150.402,00
XPLG11;98,39;0,660000;7,69;113,46;0,87;7.090.744,32;2,22;0,22;-1,00;3.075.002.122,83;279.016,00;Ativa;27.101.061,00
XPML11;99,18;0,660000;6,82;101,76;0,97;3.191.583,85;1,54;-0,20;-2,41;1.900.967.892,10;255.243,00;Ativa;18.681.577,00
YUFI11;0,00;0,204384;0,00;104,51;;;17,94;;;41.298.313,05;10,00;Ativa;395.150,00
HGRS11;0,00;;0,00;91,38;;;13,03;;;109.144.193,09;6,00;Ativa;1.194.352,00
VIUR11;74,27;0,700000;9,17;96,31;0,77;255.870,66;11,44;;;259.530.239,98;3.982,00;Ativa;2.694.622,00
VLOL11;98,00;0,530000;5,84;103,54;0,95;76.257,00;1,24;1,72;-0,66;184.797.239,14;3.867,00;Passiva;1.784.828,00
VTVI11;0,00;;0,00;38,22;;;11,85;;;68.073.542,72;1,00;Ativa;1.780.984,00
VVPR11;94,00;0,780000;9,33;103,41;0,91;584.584,88;0,86;;;238.445.073,76;1.417,00;Ativa;2.305.771,00
WHGR11;0,00;;0,00;10,13;;;27,16;;;150.238.855,66;93,00;Ativa;14.828.868,00
WTSP11B;38,14;0,317347;8,34;78,92;0,48;743,87;0,73;-9,42;-20,88;78.336.432,25;205,00;Ativa;992.565,00
XBXO11;0,00;;0,00;96,77;;;0,01;;;294.446.516,62;1,00;Ativa;3.042.600,00
XPCI11;97,08;1,130000;12,27;96,40;1,01;3.089.675,73;5,06;;;663.963.154,17;54.639,00;Ativa;6.887.865,00
XPHT12;37,60;;0,00;94,06;0,40;4.966,30;0,61;;-29,21;357.866.379,56;1.348,00;Ativa;3.804.642,00
DLMT11;0,00;0,005548;0,00;0,67;;;1,44;;;8.894.153,46;9,00;Ativa;13.225.796,00
KCRE11;0,00;;0,00;100,67;;;44,65;;;204.797.488,18;1.924,00;Ativa;2.034.442,00
KIVO11;98,00;1,150000;1,17;100,34;0,98;309.406,78;14,91;;;35.931.035,95;69,00;Ativa;358.100,00
PRZS11;0,00;;0,00;122,54;;;0,35;;;57.773.184,65;20,00;Ativa;471.446,00
VPSI11;0,00;0,125036;0,00;18,51;;;0,71;-2,62;;149.370.543,78;56,00;Passiva;8.071.897,00
AFHI11;99,00;1,350000;12,78;97,24;1,02;805.774,39;6,87;;;173.824.946,40;8.468,00;Ativa;1.787.671,00
AFOF11;94,34;1,005760;11,80;102,32;0,92;74.633,24;6,07;;;70.721.355,90;2.535,00;Ativa;691.192,00
AIEC11;79,89;1,310000;10,73;101,22;0,79;760.023,51;1,71;;;488.386.140,04;7.137,00;Ativa;4.824.987,00
BPLC11;0,00;;0,00;10.126,38;;;6,14;;;324.033.806,91;113,00;Passiva;31.998,00
DOVL11B;21,39;0,269377;44,45;1.223,62;0,02;;8,22;;;81.255.545,41;51,00;Ativa;66.406,00
ESTQ11;0,00;;0,00;0,25;;;68,09;;;16.015.431,72;5,00;Ativa;65.361.974,00
JCDA11;0,00;;0,00;10,85;;;7,19;;;136.639.870,84;49,00;Ativa;12.594.791,00
PATB11;0,00;6,074285;0,00;145,83;;;1,62;;;557.401.896,32;58,00;Ativa;3.822.328,00
RPRI11;0,00;0,580000;0,00;102,55;;;21,51;;;65.321.690,60;387,00;Ativa;637.004,00
VOTS11;93,06;1,150000;9,37;97,71;0,95;7.596,34;5,50;16,39;2,66;80.896.421,12;332,00;Ativa;827.913,00
VRTA11;102,43;1,150000;13,11;97,21;1,05;2.604.465,66;6,90;9,94;-8,80;1.254.344.529,49;97.536,00;Ativa;12.903.214,00
