TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
MTRE3,5.21,MITRE REALTY,"4,19","22,66","0,55","0,35","34,10","7,05","4,24","13,61","9,99","-3,62","-0,15","0,96","0,65","-1,49","3,27","2,44","1,53","2,63","0,63","0,37","0,36","57,62","123,00","2.876.175,88","9,41","0,23","-0,46","551.086.812,20"
MTSA3,63.859999999999999,METISA,"2,11","10,55","1,78","1,20","27,99","13,13","9,14","7,35","5,76","0,04","0,01","0,96","2,51","-5,52","2,58","16,84","11,37","13,82","0,68","0,32","1,24","21,69","31,68","9.450,00","35,94","6,05","-1,50","437.270.037,80"
MTSA4,36.759999999999998,METISA,"4,04","6,08","1,02","0,69","27,99","13,13","9,14","4,23","5,76","0,04","0,01","0,56","1,44","-3,18","2,58","16,84","11,37","13,82","0,68","0,32","1,24","21,69","31,68","72.798,67","35,94","6,05","-0,87","437.270.037,80"
MULT3,23.559999999999999,MULTIPLAN,"2,12","24,47","2,18","1,32","79,14","53,45","40,14","18,38","21,18","2,80","0,33","9,82","27,64","-1,55","1,48","8,92","5,38","7,68","0,60","0,40","0,13","3,03","13,14","159.257.416,04","10,79","0,96","-0,80","14.153.926.215,00"
MWET3,16.989999999999998,WETZEL S/A,,"0,27","-0,70","0,16","15,85","7,54","53,17","1,90","4,61","3,01",,"0,14","-4,06","-0,25","0,91","-261,35","57,99","235,20","-0,22","1,22","1,09","14,95",,"2.674,50","-24,14","63,08","0,00","29.491.182,99"
MWET4,13,WETZEL S/A,,"0,21","-0,54","0,12","15,85","7,54","53,17","1,45","4,61","3,01",,"0,11","-3,11","-0,19","0,91","-261,35","57,99","235,20","-0,22","1,22","1,09","14,95",,"18.344,38","-24,14","63,08","0,00","29.491.182,99"
MYPK3,13.09,IOCHP-MAXION,"10,73","3,75","0,46","0,14","12,45","9,36","3,92","1,57","5,04","3,47","1,01","0,15","1,20","-0,26","1,33","12,21","3,70","9,58","0,30","0,70","0,94","14,96","90,29","19.662.174,54","28,61","3,49","-0,02","2.012.189.577,09"
NAFG3,64.370000000000005,-,,"11,80","2,76","1,15","41,15","16,49","9,34","6,68","5,06","1,17","0,48","1,10","3,20","-2,87","2,52","23,42","9,77","15,89","0,42","0,58","1,05","7,87","35,19",,"23,30","5,46","-1,14","508.315.292,42"
NAFG4,19.02,-,,"3,49","0,82","0,34","41,15","16,49","9,34","1,97","5,06","1,17","0,48","0,33","0,94","-0,85","2,52","23,42","9,77","15,89","0,42","0,58","1,05","7,87","35,19",,"23,30","5,46","-0,34","508.315.292,42"
NEMO3,0,SUZANO HOLD,,"0,00","0,00","0,00","49,68","44,37","5,73","0,00","3,22","3,22","3,84","0,00","0,00","0,00","2,95","15,43","1,97","18,96","0,13","0,87","0,34","32,90","34,08",,"88,08","13,59","0,00","0,00"
NEMO5,52.969999999999999,SUZANO HOLD,"4,71","3,90","0,60","0,08","49,68","44,37","5,73","0,50","3,22","3,22","3,84","0,22","0,41","-0,11","2,95","15,43","1,97","18,96","0,13","0,87","0,34","32,90","34,08",,"88,08","13,59","-0,02","0,00"
NEMO6,0,SUZANO HOLD,,"0,00","0,00","0,00","49,68","44,37","5,73","0,00","3,22","3,22","3,84","0,00","0,00","0,00","2,95","15,43","1,97","18,96","0,13","0,87","0,34","32,90","34,08",,"88,08","13,59","0,00","0,00"
NEOE3,17.98,NEOENERGIA,"4,46","5,28","0,88","0,25","26,36","19,37","9,24","2,52","6,43","3,92","1,36","0,49","5,70","-0,33","1,20","16,58","4,71","10,96","0,28","0,71","0,51","23,82","68,63","44.299.435,38","20,52","3,40","0,19","21.824.074.519,04"
NGRD3,2.1099999999999999,NEOGRID,"0,70","41,23","1,10","0,68","65,29","6,06","4,84","32,95","19,16","-13,79","-0,46","2,00","2,18","-1,31","2,88","2,67","1,65","1,55","0,62","0,38","0,34",,,"3.075.965,25","1,92","0,05","-1,82","503.577.516,30"
NINJ3,3.7000000000000002,GETNINJAS,,"-4,53","0,65","0,61","91,83","-83,43","-65,67","-3,57","2,06","5,63","-1,02","2,98","0,66","-33,84","15,13","-14,30","-13,37","-18,17","0,94","0,06","0,20",,,"938.029,29","5,71","-0,82","0,00","185.831.068,10"
